"Product Name","Total Quantity Sold","Total Revenue"
ullam,1344,"362,500.00"
itaque,1295,"250,000.00"
placeat,1283,"300,000.00"
maiores,1101,"250,000.00"
illum,1096,"275,000.00"
illo,1028,"262,500.00"
vitae,1025,"287,500.00"
sequi,1025,"225,000.00"
voluptates,1001,"225,000.00"
minus,988,"212,500.00"
rerum,987,"212,500.00"
accusantium,985,"250,000.00"
architecto,978,"200,000.00"
nulla,944,"225,000.00"
et,937,"225,000.00"
debitis,929,"225,000.00"
id,928,"262,500.00"
consequatur,924,"187,500.00"
id,919,"225,000.00"
ut,903,"187,500.00"
perferendis,903,"250,000.00"
quia,902,"225,000.00"
aut,901,"237,500.00"
assumenda,897,"237,500.00"
eos,890,"212,500.00"
dolorum,880,"162,500.00"
sed,875,"212,500.00"
dolorem,867,"187,500.00"
laboriosam,866,"200,000.00"
ullam,861,"200,000.00"
rem,859,"212,500.00"
aliquam,850,"212,500.00"
voluptatum,844,"200,000.00"
sunt,838,"175,000.00"
ut,836,"212,500.00"
itaque,833,"212,500.00"
enim,827,"187,500.00"
est,812,"212,500.00"
velit,806,"187,500.00"
ut,798,"187,500.00"
voluptatum,786,"162,500.00"
alias,771,"200,000.00"
deserunt,765,"275,000.00"
eos,755,"162,500.00"
ipsum,725,"175,000.00"
vero,725,"162,500.00"
magnam,720,"162,500.00"
voluptas,718,"200,000.00"
laudantium,712,"250,000.00"
veniam,710,"187,500.00"
voluptatem,704,"175,000.00"
sit,698,"200,000.00"
ipsum,692,"150,000.00"
accusantium,687,"150,000.00"
reiciendis,685,"175,000.00"
perferendis,679,"162,500.00"
sunt,677,"187,500.00"
officiis,671,"250,000.00"
aut,670,"150,000.00"
qui,668,"200,000.00"
veritatis,667,"187,500.00"
dignissimos,654,"200,000.00"
fugit,646,"187,500.00"
sunt,644,"150,000.00"
consequatur,640,"175,000.00"
quia,638,"187,500.00"
sit,634,"162,500.00"
quidem,627,"175,000.00"
praesentium,625,"175,000.00"
neque,611,"150,000.00"
fuga,610,"187,500.00"
maxime,609,"162,500.00"
rerum,601,"150,000.00"
in,598,"137,500.00"
cupiditate,593,"150,000.00"
eius,592,"150,000.00"
ea,579,"175,000.00"
aperiam,572,"150,000.00"
a,568,"125,000.00"
rerum,553,"175,000.00"
dolor,541,"150,000.00"
laborum,541,"162,500.00"
minima,532,"137,500.00"
rem,530,"150,000.00"
minus,529,"100,000.00"
beatae,521,"187,500.00"
odio,517,"112,500.00"
est,516,"187,500.00"
voluptatibus,507,"137,500.00"
placeat,506,"187,500.00"
sunt,506,"162,500.00"
qui,501,"162,500.00"
et,449,"125,000.00"
non,440,"100,000.00"
et,421,"112,500.00"
at,392,"125,000.00"
tempora,381,"137,500.00"
porro,339,"112,500.00"
et,255,"87,500.00"
fugiat,235,"87,500.00"
